Country_Name,ISO3,region,subregion,Ladder Score,Log GDP per capita,Social Support,Healthy Life Expectancy,Personal Freedom,Generosity,Perceptions of Corruption,Dystopia,Tech,Health,Education,Violence,Inequality,Tech_Level,Health_Level,Education_Level,Violence_Level,Inequality_Level
Hungary,HUN,Europe,Eastern Europe,6.017,1.722,1.528,0.596,0.581,0.123,0.067,1.4,87.4,54.4,10.271568,14069.0,0.44303623,3,4,4,4,1
Iceland,ISL,Europe,Northern Europe,7.525,1.881,1.617,0.718,0.819,0.258,0.182,2.05,95.9,48.5,10.718311,768.0,0.38142487,5,3,4,1,1
Indonesia,IDN,Asia,Southeast Asia,5.568,1.361,1.184,0.472,0.779,0.399,0.055,1.318,82.8,50.4,7.8277683,39133.0,0.5309253,2,3,2,4,3
Iraq,IRQ,Asia,Middle East,5.166,1.249,0.996,0.498,0.425,0.141,0.048,1.809,73.9,24.0,4.0308604,415.0,0.6123084,2,1,1,1,4
Ireland,IRL,Europe,Northern Europe,6.838,2.129,1.39,0.7,0.758,0.205,0.418,1.239,90.7,55.3,11.594797,9358.0,0.524745,4,4,5,3,2
Israel,ISR,Asia,Middle East,7.341,1.803,1.513,0.74,0.641,0.153,0.193,2.298,92.5,47.2,10.586509,16273.0,0.59364897,4,3,4,4,4
Italy,ITA,Europe,Southern Europe,6.324,1.8,1.328,0.72,0.513,0.112,0.074,1.777,87.7,51.9,10.451879,69775.0,0.531018,3,4,4,5,3
Jamaica,JAM,Americas,North America,5.842,1.28,1.324,0.567,0.647,0.089,0.028,1.907,76.9,31.8,7.057986,4331.0,0.6512723,2,1,2,3,5
Japan,JPN,Asia,East Asia,6.06,1.786,1.354,0.785,0.632,0.023,0.219,1.261,93.2,60.5,11.735149,26267.0,0.5364195,5,5,5,4,3
Jordan,JOR,Asia,Middle East,4.186,1.262,0.983,0.594,0.593,0.059,0.189,0.504,84.9,42.8,7.6661263,1946.0,0.58535653,3,3,2,2,3
Kazakhstan,KAZ,Asia,Central Asia,6.188,1.622,1.457,0.556,0.733,0.149,0.12,1.551,90.1,46.1,9.127437,4242.0,0.47160324,4,3,3,3,2
Kenya,KEN,Africa,Central Africa,4.47,1.037,0.895,0.353,0.519,0.282,0.069,1.316,58.5,38.8,8.469239,29796.0,0.59904,1,2,3,4,4
South Korea,KOR,Asia,East Asia,6.058,1.815,1.178,0.77,0.555,0.126,0.158,1.456,94.4,65.4,11.684028,49357.0,0.42824537,5,5,5,5,1
Kuwait,KWT,Asia,Middle East,6.951,1.845,1.364,0.661,0.827,0.2,0.172,1.884,100.0,36.8,7.382034,1553.0,0.64094096,5,2,2,2,5
Kyrgyzstan,KGZ,Asia,Central Asia,5.714,1.054,1.477,0.588,0.834,0.225,0.03,1.505,88.3,42.4,8.652101,52.0,0.54257923,4,3,3,1,3
Latvia,LVA,Europe,Eastern Europe,6.234,1.7,1.508,0.564,0.666,0.127,0.078,1.59,94.3,61.9,10.978801,885.0,0.47657734,5,5,4,1,2
Lesotho,LSO,Africa,Southern Africa,3.186,0.771,0.851,0.0,0.523,0.082,0.085,0.875,48.8,30.9,6.314051,7394.0,0.6188754,1,1,1,3,4
Lithuania,LTU,Europe,Eastern Europe,6.818,1.766,1.454,0.598,0.533,0.044,0.116,2.307,94.2,59.5,10.975232,286.0,0.61700785,5,5,4,1,4
Luxembourg,LUX,Europe,Western Europe,7.122,2.141,1.355,0.708,0.801,0.146,0.432,1.54,92.6,48.4,9.795577,1140.0,0.4417632,4,3,4,2,1
Madagascar,MDG,Africa,Southern Africa,4.228,0.628,0.823,0.333,0.25,0.172,0.123,1.897,29.9,30.4,4.713441,3315.0,0.6137857,1,1,1,2,4
Malaysia,MYS,Asia,Southeast Asia,5.975,1.646,1.143,0.54,0.829,0.226,0.119,1.473,95.0,56.4,8.889285,7272.0,0.5886043,5,4,3,3,4
Malta,MLT,Europe,Southern Europe,6.346,1.827,1.444,0.707,0.727,0.25,0.125,1.267,93.5,40.2,10.193024,361.0,0.46547538,5,2,4,1,2
Mauritius,MUS,Africa,Southern Africa,5.816,1.57,1.358,0.49,0.641,0.123,0.118,1.517,84.2,39.7,9.405725,902.0,0.57470345,3,2,3,2,3
